Ponto;X;Y
1;-58,787061;-3,382400
2;-62,875403;-7,975144
3;-63,619369;-7,968411
4;-64,670872;-9,014231
5;-64,834961;-8,855864
6;-64,826492;-8,580047
7;-64,571419;-8,574061
8;-65,163178;-8,084081
9;-65,672608;-8,329789
10;-65,671561;-8,106669
11;-65,691819;-7,916719
12;-65,462622;-7,649469
13;-64,852631;-7,309711
14;-64,661850;-7,063511
15;-64,898842;-6,782589
16;-64,711808;-6,299069
17;-64,254342;-6,251819
18;-63,986722;-6,338050
19;-63,735731;-5,805931
20;-63,693650;-5,767381
21;-62,892589;-4,879750
22;-62,818778;-4,746989
23;-62,284939;-4,206339
24;-61,114792;-3,128400
25;-60,972511;-2,942731
26;-60,475450;-3,244125
27;-60,346369;-3,691700
28;-60,027939;-3,383681
29;-59,022622;-3,250419
